"2017-05-18 11:59:02","ajp-nio-8889-exec-8 | u:admin","0.026","Load Work Item for editing","drivepilot/DP-475 (null, 1)"
"2017-05-18 11:59:26","ajp-nio-8889-exec-9 | u:admin","0.667","Save Work Item","drivepilot/DP-475 (null, 1)"
"2017-05-18 12:08:01","ajp-nio-8889-exec-6 | u:admin","0.017","Load Work Item for preview","drivepilot/DP-85 (null, 62)"
"2017-05-18 12:08:02","ajp-nio-8889-exec-9 | u:admin","0.027","Load Work Item for editing","drivepilot/DP-85 (null, 62)"
"2017-05-18 12:32:17","ajp-nio-8889-exec-6 | u:admin","0.013","Load Work Item for preview","drivepilot/DP-85 (null, 62)"
"2017-05-18 12:32:19","ajp-nio-8889-exec-1 | u:admin","0.017","Load Work Item for preview","drivepilot/DP-475 (null, 63)"
"2017-05-18 12:32:20","ajp-nio-8889-exec-3 | u:admin","0.029","Load Work Item for editing","drivepilot/DP-475 (null, 63)"
"2017-05-18 12:33:37","ajp-nio-8889-exec-7 | u:admin | uri:/polarion/wiki/bin/view/project/drivepilot/page/Home","0.304","Load Wiki Page","drivepilot/_default/Home (3)"
"2017-05-18 12:33:40","ajp-nio-8889-exec-10 | u:admin","0.017","Load Work Item for preview","drivepilot/DP-85 (null, 62)"
"2017-05-18 12:33:40","ajp-nio-8889-exec-6 | u:admin","0.023","Load Work Item for preview","drivepilot/DP-475 (null, 63)"
"2017-05-18 12:33:42","ajp-nio-8889-exec-9 | u:admin","0.037","Load Work Item for editing","drivepilot/DP-475 (null, 63)"
